Time,"Theta - radians (5 m, 20 degrees)","Theta - degrees (5 m, 20 degrees)","Theta - radians (5 m, 15 degrees)","Theta - degrees (5 m, 15 degrees)","Theta - radians (2.5 m, 20 degrees)","Theta - degrees (2.5 m, 20 degrees)","Theta - radians (2.5 m, 15 degrees)","Theta - degrees (2.5 m, 15 degrees)"
0,20,0.34906585,15,0.261799388,20,0.34906585,15,0.261799388
0,20,0.34906585,15,0.261799388,20,0.34906585,15,0.261799388
0.0125,19.99693758,0.349012401,14.99770318,0.261759301,19.99387531,0.348958954,14.99540648,0.261719216
0.01875,19.99310977,0.348945593,14.99483233,0.261709195,19.98622033,0.34882535,14.98966525,0.261619012
0.046153846,19.95826305,0.348337403,14.96869728,0.261253052,19.91655513,0.347609463,14.93741635,0.260707097
0.05,19.95102001,0.348210988,14.963265,0.261158241,19.90208001,0.347356824,14.92656001,0.260517618
0.025,19.98775125,0.348852069,14.99081344,0.261639052,19.975505,0.348638332,14.98162875,0.261478749
0.05,19.95102001,0.348210988,14.963265,0.261158241,19.90208001,0.347356824,14.92656001,0.260517618
0.05,19.95102001,0.348210988,14.963265,0.261158241,19.90208001,0.347356824,14.92656001,0.260517618
0.05,19.95102001,0.348210988,14.963265,0.261158241,19.90208001,0.347356824,14.92656001,0.260517618
0.0625,19.92348634,0.347730435,14.94261475,0.260797826,19.84707029,0.346396724,14.88530272,0.259797543
0.06875,19.90743087,0.347450214,14.93057315,0.260587661,19.81500465,0.345837072,14.86125349,0.259377804
0.096153846,19.81906047,0.34590786,14.86429535,0.259430895,19.63866725,0.342759404,14.72900044,0.257069553
0.1,19.80431992,0.345650589,14.85323994,0.259237942,19.60927886,0.34224648,14.70695915,0.25668486
0.075,19.88985125,0.347143392,14.91738844,0.260357544,19.77990487,0.345224466,14.83492865,0.258918349
0.1,19.80431992,0.345650589,14.85323994,0.259237942,19.60927886,0.34224648,14.70695915,0.25668486
0.1,19.80431992,0.345650589,14.85323994,0.259237942,19.60927886,0.34224648,14.70695915,0.25668486
0.1,19.80431992,0.345650589,14.85323994,0.259237942,19.60927886,0.34224648,14.70695915,0.25668486
0.1125,19.75244987,0.344745286,14.8143374,0.258558964,19.50592278,0.340442576,14.62944208,0.255331932
